 Scan The fastest combinaison 32

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	6	 inf	   17.244	   7.210	   0.648	  7.872	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	6	 inf	   17.244	   7.317	   0.648	  7.979	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	6	 inf	   17.244	   4.945	   0.649	  5.608	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	6	 inf	   17.244	   4.943	   0.659	  5.616	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	12	 inf	   17.244	   7.192	   0.647	  7.852	 2	358	3	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	12	 inf	   17.244	   7.322	   0.648	  7.984	 2	358	3	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	12	 inf	   17.244	   4.946	   0.647	  5.607	 2	358	3	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	358	  56	 100	2	12	 inf	   17.244	   4.941	   0.656	  5.611	 2	358	3	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	6	 inf	   47.917	   5.412	   0.649	  6.079	 2	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	6	 inf	   47.917	   5.244	   0.647	  5.911	 2	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	6	 inf	   47.917	   4.849	   0.643	  5.513	 2	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	6	 inf	   47.917	   4.860	   0.644	  5.525	 2	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	12	 inf	   47.917	   6.934	   0.642	  7.597	 3	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	12	 inf	   47.917	   8.636	   0.646	  9.303	 4	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	12	 inf	   47.917	   6.401	   0.645	  7.067	 3	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	0	12	 inf	   47.917	   7.934	   0.648	  8.603	 4	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	6	 inf	   47.917	   6.902	   0.650	  7.572	 3	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	6	 inf	   47.917	   8.665	   0.646	  9.332	 4	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	6	 inf	   47.917	   6.422	   0.651	  7.094	 3	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	6	 inf	   47.917	   7.943	   0.655	  8.618	 4	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	12	 inf	   47.917	   10.381	   0.649	  11.051	 5	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	12	 inf	   47.917	   15.508	   0.655	  16.184	 8	571	0	0	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	12	 inf	   47.917	   9.461	   0.655	  10.138	 5	571	0	1	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	1	12	 inf	   47.917	   14.066	   0.656	  14.743	 8	571	0	1	1	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	6	 inf	   47.917	   6.891	   0.653	  7.566	 3	571	0	0	0	0	0
0.260	0.500	1.000	-1.082	0.000	597	  8	 1	2	6	 inf	   47.917	   6.937	   0.652	  7.610	 3	571	0	0	1	0	0
