
                            The run.sh command was:                                 
##########################################################################################
#!/bin/bash
#SBATCH --account=k1251
#SBATCH --job-name=pfeast_nc64
#SBATCH --output=./sensTV/64/pfeast_nc_64-%j.out
#SBATCH --error=./sensTV/64/errors/pfeast_nc_64-%j.err
#SBATCH --nodes=1
#SBATCH --time=23:59:00


echo""
echo "                            The run.sh command was:                                 "
echo "##########################################################################################"
cat run_64.sh
echo""

export MKL_NUM_THREADS=32 OMP_NUM_THREADS=32
 
#srun --ntasks=1 --ntasks-per-node=1    ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
srun --ntasks=4 --ntasks-per-node=4  --ntasks-per-socket=2  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
#srun --ntasks=8 --ntasks-per-node=8  --ntasks-per-socket=4  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5
#srun --ntasks=16 --ntasks-per-node=16  --ntasks-per-socket=8  ./SCSA_2D2D_dfeast_parallel   -nc 8 --data ../dat_data/img64_Lena64.dat ../dat_data/img64_Lena64.dat  -N 64 -h 0.26 -gm 0.5

echo""



Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 4

| Sub-Intervals| 		| -1.09 -- -0.454 -- -0.285 -- -0.138 -- 0 |
| List M0 |   		          | 660 -- 667 -- 675 -- 676 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	0	12	 inf	   50.615	   213.871	   190.647	  404.714	 1	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	6	 inf	   50.615	   382.518	   191.080	  573.803	 1	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	6	 inf	   50.615	   227.199	   190.481	  417.948	 1	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	6	 inf	   50.615	   254.774	   191.975	  446.954	 0	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	6	 inf	   50.615	   179.046	   190.735	  370.022	 1	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	12	 inf	   50.615	   384.588	   191.419	  576.213	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	12	 inf	   50.615	   227.548	   190.829	  418.569	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	12	 inf	   50.615	   329.099	   190.179	  519.483	 1	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	1	12	 inf	   50.615	   183.648	   191.654	  375.516	 2	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	6	 inf	   50.615	   325.640	   191.227	  517.073	 1	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	6	 inf	   50.615	   178.933	   191.496	  370.623	 1	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	6	 inf	   50.615	   130.008	   191.304	  321.519	 0	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	6	 inf	   50.615	   131.429	   191.217	  322.839	 0	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	12	 inf	   50.615	   382.415	   191.325	  573.945	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	12	 inf	   50.615	   226.093	   191.212	  417.499	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	12	 inf	   50.615	   253.981	   191.410	  445.600	 1	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 1	2	12	 inf	   50.615	   177.545	   191.050	  368.872	 1	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	6	 inf	   50.615	   253.518	   191.331	  445.106	 1	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	6	 inf	   50.615	   178.372	   191.463	  370.050	 1	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	6	 inf	   50.615	   254.399	   190.968	  445.575	 1	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	6	 inf	   50.615	   178.892	   191.811	  370.910	 1	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	12	 inf	   50.615	   379.040	   190.744	  569.990	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	12	 inf	   50.615	   225.590	   191.666	  417.449	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	12	 inf	   50.615	   377.010	   191.818	  569.033	 2	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	0	12	 inf	   50.615	   227.230	   190.715	  418.136	 2	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	6	 inf	   50.615	   578.954	   190.763	  769.923	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	6	 inf	   50.615	   314.486	   191.201	  505.978	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	6	 inf	   50.615	   722.889	   191.688	  914.782	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	6	 inf	   50.615	   383.231	   191.505	  574.978	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	12	 inf	   50.615	   920.313	   189.715	  1110.234	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	12	 inf	   50.615	   456.584	   191.350	  648.283	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	12	 inf	   50.615	   1345.793	   191.563	  1537.566	 7	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	1	12	 inf	   50.615	   660.869	   191.274	  852.449	 7	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	6	 inf	   50.615	   252.600	   191.896	  444.733	 1	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	6	 inf	   50.615	   178.470	   191.432	  370.096	 1	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	6	 inf	   50.615	   128.109	   191.414	  319.731	 0	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	6	 inf	   50.615	   130.577	   191.531	  322.303	 0	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	12	 inf	   50.615	   397.435	   191.294	  588.937	 2	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	12	 inf	   50.615	   226.972	   191.004	  418.218	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	12	 inf	   50.615	   257.238	   191.890	  449.334	 0	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	660	  56	 100	2	12	 inf	   50.517	   178.623	   191.968	  370.905	 1	2559	0	1	1	0	0

