 Scan The fastest combinaison 64

 MKL_NUM_THREADS=32 OMP_NUM_THREADS=32




Feast 3.0:  image size = 64 X 64  ,   # Sub-Intervals= 4

| Sub-Intervals| 		| -1.09 -- -0.454 -- -0.285 -- -0.138 -- 0 |
| List M0 |   		          | 660 -- 667 -- 675 -- 676 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info	 store_fact 	 cnvgce_trace_Resdl 	 guess_M0 % 	  Run_Q_M0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	12	 inf	   50.615	   102.793	   191.497	  294.609	 2	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	12	 inf	   50.615	   170.322	   192.131	  362.729	 8	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	1	12	 inf	   50.615	   129.987	   193.176	  323.373	 7	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	6	 inf	   50.615	   137.621	   191.292	  329.121	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	6	 inf	   50.615	   104.923	   191.608	  296.740	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	6	 inf	   50.615	   139.560	   191.401	  331.170	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	6	 inf	   50.615	   106.337	   191.465	  298.009	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	12	 inf	   50.615	   206.650	   191.528	  398.386	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	12	 inf	   50.615	   128.623	   191.927	  320.857	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	12	 inf	   50.615	   234.129	   191.081	  425.455	 9	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 1	2	12	 inf	   50.615	   175.790	   192.169	  368.205	 9	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	6	 inf	   50.615	   138.167	   192.098	  330.470	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	6	 inf	   50.615	   107.442	   193.058	  300.779	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	6	 inf	   50.615	   129.693	   192.948	  322.915	 2	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	6	 inf	   50.615	   102.876	   192.793	  295.944	 2	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	12	 inf	   50.615	   162.273	   193.107	  355.649	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	12	 inf	   50.615	   125.520	   193.416	  319.248	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	12	 inf	   50.615	   223.003	   192.957	  416.235	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	0	12	 inf	   50.615	   169.842	   193.086	  363.189	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	6	 inf	   50.615	   198.800	   191.943	  390.983	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	6	 inf	   50.615	   152.137	   193.486	  345.923	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	6	 inf	   50.615	   264.988	   191.801	  457.021	 5	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	6	 inf	   50.615	   198.801	   194.039	  393.129	 5	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	12	 inf	   50.615	   308.697	   192.838	  501.862	 6	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	12	 inf	   50.615	   233.877	   192.108	  426.286	 6	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	12	 inf	   50.615	   510.778	   192.732	  703.778	 10	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	1	12	 inf	   50.615	   391.020	   193.512	  584.852	 10	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	6	 inf	   50.615	   136.259	   193.560	  330.061	 3	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	6	 inf	   50.615	   105.249	   192.213	  297.672	 3	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	6	 inf	   50.615	   146.337	   193.350	  339.896	 4	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	6	 inf	   50.615	   106.498	   192.135	  298.842	 4	2560	0	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	12	 inf	   50.615	   200.645	   191.669	  392.521	 4	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	12	 inf	   50.615	   153.799	   192.726	  346.788	 4	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	12	 inf	   50.615	   235.012	   193.049	  428.308	 10	2560	0	0	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  8	 100	2	12	 inf	   50.615	   175.923	   192.614	  368.747	 12	2560	2	1	1	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  56	 1	0	6	 inf	   50.615	   271.263	   191.742	  463.242	 1	2560	0	0	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  56	 1	0	6	 inf	   50.615	   187.205	   192.093	  379.494	 1	2560	0	1	0	0	0
0.260	0.500	1.000	-1.087	-0.454	792	  56	 1	0	6	 inf	   50.615	   280.336	   192.964	  473.509	 1	2560	0	0	1	0	0
