MKL Double 
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info 
	0.310000	0.500000	1.000000	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 N/A 	 -8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	15.590663	16.732963	93.173355	N/A	1811	0
Feast Double
	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	11	6	20	0	1	0	50	0	2011	-2.555264	0.000000	5	-8.295932e-05	-7.758208e-01	inf	48.399624	0.000000	0.000014	451.117958	452.235452	99.752896	4	1811	0
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1711	-0.511053	0.000000	1	-7.779947e-05	-5.108751e-01	inf	17.889437	0.000000	0.016258	907.883281	908.913270	99.886679	22	1494	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1394	-1.533158	0.000000	3	-3.172435e-02	-7.754746e-01	inf	25.488489	0.000000	0.002826	168.988556	169.981502	99.415851	7	1394	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1494	-1.533158	0.000000	3	-1.950824e-02	-7.757599e-01	inf	28.557053	0.000000	0.001394	230.896973	231.932986	99.553314	8	1494	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1594	-1.533158	0.000000	3	-1.246696e-02	-7.758203e-01	inf	33.222626	0.000000	0.000476	373.406184	374.469425	99.716067	11	1594	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1694	-1.533158	0.000000	3	-2.758406e-03	-7.758208e-01	inf	40.463043	0.000000	0.000090	773.398200	774.491777	99.858801	18	1694	3
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1794	-1.533158	0.000000	3	-4.193252e-04	-7.758208e-01	inf	46.591545	0.000000	0.000022	1031.304188	1032.416517	99.892260	22	1764	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1894	-1.533158	0.000000	3	-1.973038e-04	-7.758208e-01	inf	48.311012	0.000000	0.000015	1112.348747	1113.461681	99.900047	22	1792	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1692	-2.555264	0.000000	5	-1.910933e-03	-7.758208e-01	inf	38.666397	0.000000	0.000136	899.199038	900.284193	99.879465	22	1684	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1792	-2.555264	0.000000	5	-7.311815e-04	-7.758208e-01	inf	42.849770	0.000000	0.000052	987.204658	988.301594	99.889008	22	1735	2
	0.310000	0.500000	1.000000	1	6	20	0	1	0	90	0	1892	-2.555264	0.000000	5	-6.843888e-04	-7.758208e-01	inf	46.138905	0.000000	0.000024	1060.242458	1061.349262	99.895717	22	1768	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1668	-0.511053	0.000000	1	-8.295933e-05	-5.109042e-01	inf	17.833923	0.000000	0.016467	484.575061	485.601509	99.788623	5	1489	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1389	-1.533158	0.000000	3	-3.399468e-02	-6.914767e-01	inf	21.445618	0.000000	0.007169	298.679758	299.675750	99.667643	4	1389	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1489	-1.533158	0.000000	3	-2.837369e-02	-7.096900e-01	inf	24.017012	0.000000	0.003966	309.212648	310.194327	99.683528	4	1489	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1589	-1.533158	0.000000	3	-2.293193e-02	-7.355858e-01	inf	27.677067	0.000000	0.001707	463.024616	464.093117	99.769766	5	1589	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1689	-1.533158	0.000000	3	-1.487615e-02	-7.558226e-01	inf	33.020657	0.000000	0.000499	371.861370	372.950475	99.707976	4	1689	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1789	-1.533158	0.000000	3	-2.596049e-03	-7.723525e-01	inf	44.857487	0.000000	0.000033	394.866783	395.976139	99.719843	4	1789	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1889	-1.533158	0.000000	3	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	695.693435	696.811103	99.839602	6	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1989	-1.533158	0.000000	3	-8.295933e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	593.596731	594.718600	99.811361	5	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1711	-2.555264	0.000000	5	-1.513940e-02	-7.612779e-01	inf	35.332100	0.000000	0.000293	384.411400	385.509745	99.715093	4	1711	3
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1811	-2.555264	0.000000	5	-1.342065e-04	-7.758208e-01	inf	48.402065	0.000000	0.000014	2846.623024	2847.741530	99.960723	22	1810	2
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	1911	-2.555264	0.000000	5	-8.295932e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	697.583848	698.701569	99.840029	6	1811	0
	0.310000	0.500000	1.000000	11	6	20	0	1	0	90	0	2011	-2.555264	0.000000	5	-8.295932e-05	-7.758208e-01	inf	48.399628	0.000000	0.000014	591.070604	592.188337	99.811254	5	1811	0
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1711	-0.511053	0.000000	1	-8.237685e-05	-5.109041e-01	inf	17.833361	0.000000	0.016469	904.277262	905.305656	99.886404	22	1489	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1389	-1.533158	0.000000	3	-5.306308e-02	-7.758208e-01	inf	25.898556	0.000000	0.002571	117.136199	118.143559	99.147343	5	1389	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1489	-1.533158	0.000000	3	-3.767821e-02	-7.758208e-01	inf	29.206589	0.000000	0.001200	167.745969	168.780671	99.386955	6	1489	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1589	-1.533158	0.000000	3	-1.782525e-02	-7.758208e-01	inf	33.447266	0.000000	0.000452	230.161906	231.211224	99.546165	7	1589	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1689	-1.533158	0.000000	3	-6.002945e-03	-7.758208e-01	inf	40.457115	0.000000	0.000090	419.122919	420.211663	99.740906	11	1689	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1789	-1.533158	0.000000	3	-1.490164e-04	-7.758208e-01	inf	48.029743	0.000000	0.000016	989.609745	990.716879	99.888249	22	1779	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1889	-1.533158	0.000000	3	-2.756856e-04	-7.758208e-01	inf	48.446930	0.000000	0.000014	1082.470024	1083.586612	99.896954	22	1805	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1989	-1.533158	0.000000	3	-2.155615e-04	-7.758208e-01	inf	48.408882	0.000000	0.000014	1177.764382	1178.880690	99.905308	22	1809	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1709	-2.555264	0.000000	5	-2.289539e-03	-7.758208e-01	inf	41.796993	0.000000	0.000066	761.223936	762.320195	99.856194	18	1709	3
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1809	-2.555264	0.000000	5	-4.915357e-05	-7.758208e-01	inf	47.293247	0.000000	0.000019	1040.614901	1041.724952	99.893441	22	1772	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	10	0	1909	-2.555264	0.000000	5	-3.561580e-04	-7.758208e-01	inf	48.428432	0.000000	0.000014	1123.254285	1124.369497	99.900814	22	1797	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1697	-0.511053	0.000000	1	-8.295933e-05	-5.109042e-01	inf	17.833923	0.000000	0.016467	514.637482	515.672123	99.799361	5	1489	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1389	-1.533158	0.000000	3	-1.491963e-03	-7.758208e-01	inf	16.832932	0.000000	0.020735	2144.528079	2145.474518	99.955887	22	1301	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1489	-1.533158	0.000000	3	-1.477028e-03	-7.758208e-01	inf	18.586464	0.000000	0.013847	2299.845734	2300.848639	99.956412	22	1409	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	10	0	1589	-1.533158	0.000000	3	-1.472006e-03	-7.758208e-01	inf	21.362743	0.000000	0.007307	2500.833098	2501.877848	99.958241	22	1536	2
