	 h 	 gm 	 fe 	 nb_cntr_point 	 eps 	 max_refin_loop 	 guess_M0 	 cnvgce_trace_Resdl 	 intgr_Gauss_Trapez_Zolot 	 cntr_ratio 	 Run_Q_M0 	 M0 	 Emin 	 Emax 	 Scaling_Emin 	 Found Emin 	 Found Emax 	 PSNR0 	 PSNR 	 MSE0 	 MSE	 Solver time  	 Totale time 	 EigenAnalysis % 	 #Iterations 	 Nh 	  info
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	400	-1.520679	0.000000	5	-2.399831e-03	-7.758603e-01	inf	45.965611	0.000000	0.000025	17.709432	17.780897	99.598080	22	394	2
	0.310000	0.500000	1.000000	1	12	20	0	1	0	90	0	500	-1.520679	0.000000	5	-1.067973e-03	-7.758603e-01	inf	47.742470	0.000000	0.000017	17.639631	17.711474	99.594369	22	406	2
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.263763	7.330371	99.091343	5	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.125900	7.192099	99.079559	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	500	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	7.680712	7.746938	99.145133	4	239	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	300	-0.912407	0.000000	3	-3.061232e-02	-6.926355e-01	inf	20.726185	0.000000	0.008460	5.441581	5.509977	98.758691	4	300	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	400	-0.912407	0.000000	3	-5.115988e-03	-7.646061e-01	inf	42.977245	0.000000	0.000050	7.156070	7.262722	98.531514	4	400	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	500	-0.912407	0.000000	3	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	11.083715	11.156233	99.349979	5	406	0
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	300	-1.520679	0.000000	5	-3.494416e-02	-6.952974e-01	inf	20.843824	0.000000	0.008234	5.463159	5.532376	98.748875	4	300	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	400	-1.520679	0.000000	5	-5.615216e-03	-7.651356e-01	inf	43.746601	0.000000	0.000042	9.542717	9.654512	98.842042	5	400	3
	0.310000	0.500000	1.000000	11	12	20	0	1	0	90	0	500	-1.520679	0.000000	5	-1.182719e-03	-7.758603e-01	inf	47.737305	0.000000	0.000017	11.269591	11.341774	99.363564	5	406	0
	0.310000	0.500000	1.000000	1	6	30	0	1	0	10	0	300	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	14.536515	14.602860	99.545671	32	239	2
	0.310000	0.500000	1.000000	1	6	30	0	1	0	10	0	400	-0.304136	0.000000	1	-1.182719e-03	-3.028505e-01	inf	11.568508	0.000000	0.069687	10.090497	10.156648	99.348691	16	239	0
